"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/11/29（火）07:57","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/28（月）22:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/28（月）19:59","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2022/11/28（月）19:58","3階テナント","警備操作","警備解除","-","US00620303","IDカード／キー","○"
"2022/11/28（月）19:55","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/28（月）19:12","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/28（月）19:04","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/28（月）18:59","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/28（月）18:51","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/28（月）09:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/28（月）08:58","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/28（月）07:55","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/28（月）07:06","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/26（土）14:11","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/11/26（土）13:41","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/25（金）20:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/25（金）19:28","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/25（金）18:11","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/25（金）17:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/25（金）09:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/25（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/25（金）08:45","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/25（金）08:43","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/25（金）08:42","4階テナント","警備操作","警備解除","-","US00620314","IDカード／キー","○"
"2022/11/25（金）08:38","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","○"
"2022/11/24（木）22:45","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/24（木）19:23","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/24（木）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/24（木）18:07","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/24（木）09:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/24（木）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/24（木）08:35","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/24（木）08:34","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/24（木）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/24（木）07:04","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/22（火）21:39","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/22（火）18:43","1Fサーバールーム","空室検索","空室","-","","","-"
