"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/08/25（木）17:19","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/25（木）17:04","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/25（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/25（木）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/25（木）08:34","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","-"
"2022/08/25（木）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/25（木）08:08","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/25（木）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/24（水）20:13","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/24（水）18:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/24（水）18:15","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/24（水）17:09","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/24（水）09:19","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/24（水）08:56","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/24（水）08:54","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/24（水）08:26","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/24（水）08:21","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/24（水）08:18","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/24（水）06:13","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/24（水）06:12","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/23（火）20:12","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/23（火）19:40","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/23（火）18:51","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/23（火）18:50","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/23（火）18:47","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/23（火）18:44","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/23（火）18:27","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/23（火）18:24","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/23（火）18:19","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/23（火）17:53","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/23（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/23（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/23（火）08:46","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/23（火）06:16","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/08/22（月）22:00","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/22（月）19:26","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/22（月）19:25","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
